"SourceAgency","Reporting_Year","Environment","Category","ConfirmedLatitude","ConfirmedLongitude","Incident_Date","Casualty_At_Risk","Casualty_Lives_Assisted","Casualty_Lives_Rescued","Casualty_Lives_Saved","Casualty_Perished","Police_Event","date","year","flag"
"NZPolice","2012-2013","Marine","Cat 1",-37.2842155,174.6544129,2013-02-02,NA,0,1,1,0,"P012858636",2013-02-01,2013,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-37.8010363,174.872863,2013-04-13,NA,0,0,0,0,"P013431361",2013-04-01,2013,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-36.87500333,175.0299962,2011-06-17,NA,0,3,0,0,"P008351099",2011-06-01,2011,"loc"
"NZPolice","2012-2013","Land","Cat 1",-36.77888369,174.7543838,2013-01-31,NA,0,1,0,0,"P012843280",2013-01-01,2013,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-39.055865,174.029986,2016-08-21,NA,0,0,0,1,"P026396907",2016-08-01,2017,"loc"
"NZPolice","2017-2018","Land","Cat 1",-38.097431,176.275646,2018-04-16,NA,0,0,1,0,"P033211059",2018-04-01,2018,"loc"
"NZPolice","2013-2014","Marine","Cat 1",-41.286846,174.7762386,2014-06-15,NA,0,0,0,0,"P017624281",2014-06-01,2014,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-37.49348417,175.9825743,2011-04-01,NA,0,0,0,0,"P007851065",2011-04-01,2011,"loc"
"NZPolice","2012-2013","Land","Cat 1",-43.17110343,172.3387953,2013-06-23,NA,0,2,0,0,"P014028674",2013-06-01,2013,"loc"
"NZPolice","2016-2017","Land","Cat 1",-43.721081,170.064508,2017-01-08,NA,0,0,0,0,"P028089253",2017-01-01,2017,"loc"
"NZPolice","2012-2013","Land","Cat 1",-44.64830262,168.8661674,2012-07-25,NA,0,1,0,0,"P011625734",2012-07-01,2013,"loc"
"NZPolice","2012-2013","Land","Cat 1",-36.85905411,174.8117605,2012-07-18,NA,0,0,0,1,"P011230003",2012-07-01,2013,"loc"
"NZPolice","2013-2014","Land","Cat 1",-37.8468891,175.0871766,2013-09-01,NA,0,0,0,1,"P014722438",2013-09-01,2014,"loc"
